*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:51:49
                                                                                
*RUN   1        : 0 N check plot            SGCER045 ITHY8001    1              
 MODEL          : SGCER045 - Grain sorghum                                      
 EXPERIMENT     : ITHY8001 SG ICRISAT ALFISOL N 1980 EXPT 80-1                  
 DATA PATH      :                                                               
 TREATMENT  1   : 0 N check plot            SGCER045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172     0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1980 218    54    80     2     0.0  141.7  135.2    6.5    1.42    5.37    9.88   12.70   10.99    6.73    5.00    3.02    1.37    1.27    0.13    0.20    0.07    0.15    0.09    0.07    0.07    0.50    0.27    0.27   18.09   98.90    1.86   13.58    0.00    4.51   70.35
 1980 219    55    80     2     0.0  141.7  135.3    6.4    0.64    3.24    6.58   11.31   12.12    9.48    5.65    3.03    1.37    1.28    0.14    0.20    0.07    0.15    0.10    0.07    0.07    0.49    0.26    0.26   18.31   99.14    2.04   13.64    0.00    4.67   70.35
 1980 220    56    80     2     0.0  141.5  135.1    6.4    0.71    3.06    6.32   10.89   11.92    9.66    6.19    3.04    1.38    1.29    0.15    0.21    0.07    0.16    0.10    0.08    0.07    0.48    0.26    0.25   18.53   99.35    2.39   13.70    0.00    4.83   70.35
 1980 221    57    80     2     0.0  141.4  135.0    6.3    0.74    2.94    6.06   10.55   11.74    9.77    6.73    3.05    1.38    1.29    0.16    0.21    0.07    0.16    0.10    0.09    0.08    0.47    0.25    0.25   18.76   99.57    2.69   13.76    0.00    5.00   70.35
 1980 222    58    80     2     0.0  138.3  132.0    6.3    0.80    2.71    5.38    9.64   10.86    9.33    7.03    3.59    1.39    1.30    0.15    0.21    0.07    0.16    0.11    0.09    0.08    0.46    0.25    0.24   19.02   99.82    2.91   13.83    0.00    5.20   73.43
 1980 223    59    80     2     0.0  138.4  132.2    6.2    0.89    2.71    5.28    9.50   10.75    9.32    7.27    3.63    1.39    1.30    0.14    0.21    0.06    0.17    0.11    0.10    0.09    0.45    0.24    0.24   19.32  100.12    3.03   13.90    0.00    5.42   73.43
 1980 224    60    80     2     0.0  138.4  132.3    6.2    0.97    2.68    5.09    9.26   10.50    9.14    7.35    3.97    1.40    1.31    0.13    0.21    0.06    0.17    0.12    0.11    0.10    0.44    0.24    0.23   19.63  100.41    3.19   13.97    0.00    5.65   73.43
 1980 225    61    80     2     0.0  138.6  132.5    6.1    1.06    2.73    5.08    9.24   10.45    9.09    7.46    4.00    1.40    1.31    0.11    0.21    0.05    0.17    0.12    0.12    0.11    0.43    0.23    0.23   19.94  100.71    3.26   14.05    0.00    5.90   73.43
 1980 226    62    80     2     0.0  135.0  129.0    6.0    0.77    2.59    5.02    8.94   10.01    8.75    7.29    3.99    1.41    1.32    0.11    0.19    0.04    0.17    0.12    0.12    0.11    0.42    0.23    0.22   20.26  101.07    3.28   14.12    0.00    6.14   77.32
 1980 227    63    80     2     0.0  134.1  128.2    5.9    0.75    2.48    5.01    8.94    9.88    8.67    7.23    4.00    1.41    1.32    0.13    0.20    0.04    0.16    0.12    0.12    0.11    0.41    0.22    0.22   20.56  101.38    3.28   14.19    0.00    6.37   78.39
 1980 228    64    80     2     0.0  134.1  128.3    5.8    0.78    2.41    4.98    9.04    9.86    8.66    7.22    4.00    1.42    1.33    0.14    0.20    0.04    0.16    0.12    0.13    0.12    0.40    0.22    0.21   20.86  101.69    3.29   14.26    0.00    6.60   78.59
 1980 229    65    80     2     0.0  134.3  128.6    5.7    0.69    2.35    5.02    9.18    9.85    8.66    7.21    4.01    1.42    1.33    0.13    0.21    0.04    0.15    0.11    0.13    0.12    0.39    0.21    0.21   21.17  102.04    3.29   14.32    0.00    6.84   78.69
 1980 230    66    80     2     0.0  134.5  128.9    5.6    0.53    2.10    4.92    9.42    9.96    8.66    7.22    4.02    1.43    1.34    0.14    0.21    0.04    0.15    0.11    0.13    0.12    0.38    0.21    0.20   21.47  102.36    3.29   14.39    0.00    7.08   78.69
 1980 231    67    80     2     0.0  134.7  129.1    5.5    0.55    1.99    4.72    9.49   10.11    8.67    7.22    4.03    1.43    1.34    0.15    0.22    0.05    0.15    0.11    0.12    0.12    0.37    0.20    0.20   21.76  102.67    3.35   14.45    0.00    7.30   78.69
 1980 232    68    80     2     0.0  134.9  129.4    5.5    0.21    0.88    2.13    6.04    9.19   10.44   10.11    4.91    1.44    1.34    0.16    0.23    0.05    0.15    0.11    0.12    0.12    0.37    0.20    0.19   22.04  102.97    3.41   14.52    0.00    7.53   78.69
 1980 233    69    80     2     0.0  135.0  129.6    5.5    0.11    0.44    1.04    3.86    6.87    8.57    9.44    7.26    3.02    1.35    0.16    0.24    0.05    0.16    0.11    0.13    0.13    0.36    0.19    0.19   22.29  103.16    3.43   14.57    0.00    7.73   78.69
 1980 234    70    80     2     0.0  135.2  129.7    5.5    0.10    0.34    0.78    3.22    6.14    7.96    9.14    7.54    3.84    1.50    0.17    0.25    0.06    0.16    0.12    0.14    0.13    0.36    0.19    0.18   22.55  103.31    3.45   14.62    0.00    7.92   78.69
 1980 235    71    80     2     0.0  135.3  129.8    5.6    0.12    0.31    0.71    3.01    5.97    7.86    9.11    7.39    4.11    1.67    0.17    0.25    0.06    0.17    0.12    0.14    0.14    0.36    0.19    0.18   22.78  103.45    3.50   14.67    0.00    8.11   78.69
 1980 236    72    80     2     0.0  135.5  129.9    5.6    0.15    0.31    0.69    2.85    5.77    7.72    9.04    7.30    4.29    1.87    0.18    0.26    0.06    0.17    0.13    0.15    0.14    0.35    0.19    0.17   23.02  103.59    3.54   14.72    0.00    8.29   78.69
 1980 237    73    80     2     1.2  134.1  128.5    5.6    0.19    0.31    0.63    2.59    5.21    6.99    8.32    7.21    4.57    2.55    0.18    0.26    0.06    0.18    0.13    0.16    0.15    0.35    0.19    0.17   23.25  103.74    3.88   14.77    0.00    8.48   78.69
 1980 238    74    80     2     3.0  132.3  126.6    5.7    0.25    0.33    0.62    2.46    4.90    6.57    7.88    7.09    4.71    2.78    0.16    0.26    0.06    0.18    0.14    0.16    0.16    0.35    0.19    0.17   23.53  103.95    4.13   14.83    0.00    8.70   78.69
 1980 239    75    80     2     4.1  131.2  125.6    5.6    0.34    0.36    0.64    2.40    4.77    6.36    7.63    6.99    4.76    2.93    0.13    0.26    0.06    0.19    0.14    0.17    0.16    0.35    0.19    0.17   23.84  104.21    4.30   14.89    0.00    8.96   78.69
 1980 240    76    80     2     4.6  131.0  125.3    5.6    0.43    0.41    0.68    2.43    4.77    6.30    7.54    6.91    4.74    2.99    0.11    0.25    0.05    0.18    0.15    0.17    0.17    0.35    0.19    0.17   24.19  104.53    4.39   14.95    0.00    9.24   78.69
 1980 241    77    80     2     4.9  131.0  125.4    5.5    0.55    0.47    0.73    2.46    4.79    6.31    7.54    6.84    4.72    3.02    0.08    0.23    0.04    0.18    0.15    0.18    0.17    0.34    0.19    0.16   24.55  104.91    4.43   15.02    0.00    9.53   78.69
 1980 242    78    80     2     5.0  131.1  125.7    5.4    0.64    0.52    0.77    2.49    4.81    6.32    7.55    6.81    4.70    3.04    0.07    0.21    0.04    0.17    0.14    0.18    0.17    0.34    0.18    0.16   24.90  105.31    4.45   15.09    0.00    9.82   78.69
 1980 243    79    80     2     5.0  131.4  126.1    5.3    0.73    0.58    0.82    2.52    4.83    6.34    7.56    6.80    4.70    3.05    0.06    0.19    0.03    0.17    0.14    0.17    0.16    0.34    0.18    0.16   25.25  105.70    4.46   15.15    0.00   10.10   78.69
 1980 244    80    80     2     5.0  131.6  126.4    5.2    0.81    0.63    0.87    2.55    4.85    6.36    7.56    6.80    4.70    3.05    0.06    0.17    0.03    0.16    0.14    0.17    0.16    0.33    0.18    0.16   25.58  106.08    4.47   15.21    0.00   10.37   78.69
 1980 245    81    80     2     5.0  131.9  126.8    5.1    0.90    0.67    0.91    2.58    4.86    6.38    7.57    6.80    4.70    3.05    0.06    0.16    0.03    0.16    0.13    0.16    0.16    0.33    0.18    0.16   25.89  106.44    4.48   15.26    0.00   10.63   78.69
 1980 246    82    80     2     5.0  132.1  127.1    5.0    0.35    0.64    1.07    2.80    4.88    6.39    7.57    6.80    4.70    3.05    0.05    0.15    0.03    0.15    0.13    0.16    0.15    0.33    0.18    0.15   26.19  106.79    4.49   15.31    0.00   10.88   78.69
 1980 247    83    80     2     5.0  132.3  127.4    5.0    0.17    0.46    0.79    2.46    5.34    6.65    7.58    6.80    4.70    3.06    0.09    0.16    0.03    0.15    0.12    0.15    0.15    0.32    0.18    0.15   26.48  107.03    4.49   15.36    0.00   11.12   78.69
 1980 248    84    80     2     5.0  132.6  127.5    5.0    0.15    0.42    0.73    2.32    5.28    6.96    7.60    6.80    4.70    3.06    0.11    0.17    0.04    0.16    0.13    0.15    0.14    0.32    0.18    0.15   26.75  107.22    4.50   15.41    0.00   11.34   78.69
 1980 249    85    80     2     5.0  132.8  127.7    5.1    0.17    0.41    0.71    2.22    5.13    7.10    7.76    6.80    4.70    3.06    0.12    0.19    0.04    0.16    0.13    0.16    0.14    0.32    0.18    0.15   27.01  107.39    4.50   15.45    0.00   11.56   78.69
 1980 250    86    80     2     5.0  130.6  125.5    5.1    0.12    0.27    0.51    1.70    4.18    6.62    8.59    6.96    4.72    3.09    0.13    0.19    0.05    0.17    0.14    0.16    0.14    0.31    0.18    0.15   27.27  107.58    4.51   15.49    0.00   11.78   81.07
 1980 251    87    80     2     7.4  125.4  120.2    5.2    0.15    0.25    0.44    1.46    3.52    5.63    7.40    6.91    5.00    3.35    0.14    0.20    0.05    0.17    0.14    0.17    0.14    0.31    0.18    0.15   27.51  107.71    4.52   15.53    0.00   11.98   84.15
 1980 252    88    80     2     8.7  121.4  116.2    5.2    0.21    0.26    0.39    1.28    3.04    4.97    6.66    6.84    5.13    3.49    0.13    0.21    0.05    0.18    0.15    0.17    0.15    0.31    0.18    0.15   27.79  107.90    4.56   15.57    0.00   12.21   86.97
 1980 253    89    80     2     9.2  118.4  113.2    5.2    0.29    0.27    0.37    1.17    2.72    4.54    6.18    6.77    5.18    3.55    0.11    0.21    0.05    0.18    0.15    0.18    0.16    0.30    0.18    0.15   28.10  108.14    4.59   15.62    0.00   12.48   89.65
 1980 254    90    80     2     9.2  116.0  110.8    5.2    0.34    0.28    0.37    1.09    2.51    4.28    5.85    6.71    5.18    3.55    0.10    0.21    0.05    0.19    0.16    0.19    0.16    0.30    0.18    0.15   28.46  108.46    4.60   15.68    0.00   12.78   92.36
 1980 255    91    80     2     9.2  113.7  108.6    5.1    0.41    0.30    0.36    1.03    2.33    4.05    5.52    6.65    5.17    3.55    0.07    0.19    0.04    0.18    0.16    0.18    0.15    0.29    0.18    0.15   28.82  108.89    4.60   15.73    0.00   13.09   94.98
 1980 256    92    80     2     9.2  111.7  106.7    5.0    0.43    0.32    0.35    0.97    2.17    3.86    5.25    6.61    5.17    3.55    0.06    0.18    0.04    0.18    0.15    0.18    0.15    0.29    0.18    0.15   29.17  109.30    4.60   15.78    0.00   13.38   97.23
 1980 257    93    80     2     9.2  109.6  104.7    4.9    0.34    0.37    0.35    0.91    2.01    3.65    4.96    6.56    5.17    3.56    0.05    0.17    0.03    0.17    0.15    0.17    0.15    0.28    0.18    0.15   29.51  109.69    4.61   15.84    0.00   13.68   99.60
 1980 258    94    80     2     9.2  106.9  102.1    4.9    0.31    0.34    0.33    0.84    1.81    3.39    4.59    6.49    5.17    3.56    0.08    0.17    0.03    0.16    0.15    0.17    0.15    0.28    0.18    0.14   29.84  110.01    4.61   15.89    0.00   13.95  102.58
 1980 259    95    80     2     9.2  104.0   99.2    4.8    0.30    0.31    0.31    0.75    1.60    3.10    4.19    6.40    5.16    3.56    0.09    0.17    0.03    0.16    0.14    0.17    0.14    0.27    0.18    0.14   30.17  110.35    4.62   15.94    0.00   14.23  105.83
 1980 260    96    80     2     9.2  101.8   97.1    4.7    0.26    0.33    0.31    0.70    1.46    2.89    3.90    6.34    5.16    3.56    0.09    0.17    0.03    0.15    0.14    0.16    0.14    0.27    0.18    0.14   30.50  110.71    4.62   15.99    0.00   14.51  108.27
 1980 261    97    80     2     9.2   99.6   95.0    4.7    0.20    0.30    0.32    0.65    1.32    2.68    3.61    6.27    5.15    3.56    0.11    0.17    0.04    0.15    0.13    0.16    0.14    0.26    0.17    0.14   30.79  111.01    4.62   16.03    0.00   14.76  110.68
 1980 262    98    80     2     9.2   97.3   92.7    4.6    0.14    0.23    0.28    0.63    1.20    2.46    3.31    6.19    5.15    3.57    0.12    0.18    0.04    0.14    0.13    0.15    0.14    0.26    0.17    0.14   31.06  111.28    4.62   16.07    0.00   14.99  113.20
 1980 263    99    80     2     9.2   95.4   90.8    4.6    0.18    0.23    0.24    0.52    1.13    2.26    3.04    6.11    5.14    3.57    0.13    0.19    0.04    0.15    0.12    0.15    0.13    0.25    0.17    0.14   31.33  111.52    4.63   16.11    0.00   15.22  115.39
 1980 264   100    80     2     9.2   93.7   89.1    4.6    0.24    0.25    0.26    0.47    1.03    2.09    2.81    6.04    5.14    3.57    0.11    0.20    0.05    0.16    0.12    0.14    0.13    0.25    0.17    0.14   31.64  111.82    4.63   16.16    0.00   15.48  117.31
 1980 265   101    80     2     9.2   92.2   87.7    4.5    0.28    0.26    0.25    0.42    0.95    1.94    2.61    5.97    5.13    3.57    0.12    0.20    0.05    0.16    0.12    0.14    0.13    0.25    0.17    0.14   31.94  112.10    4.63   16.20    0.00   15.74  119.06
 1980 266   102    80     2     9.2   90.7   86.2    4.5    0.21    0.29    0.31    0.40    0.86    1.79    2.40    5.90    5.13    3.57    0.10    0.20    0.05    0.16    0.12    0.13    0.12    0.24    0.17    0.13   32.26  112.44    4.64   16.25    0.00   16.01  120.89
 1980 267   103    80     2     9.2   88.4   84.0    4.4    0.25    0.25    0.25    0.34    0.73    1.61    2.13    5.80    5.12    3.57    0.11    0.21    0.05    0.16    0.12    0.13    0.12    0.24    0.17    0.13   32.55  112.72    4.64   16.30    0.00   16.26  123.37
 1980 268   104    80     2     9.2   87.4   83.0    4.4    0.24    0.29    0.28    0.33    0.67    1.50    2.00    5.73    5.12    3.57    0.10    0.21    0.05    0.16    0.13    0.13    0.12    0.23    0.17    0.13   32.87  113.05    4.64   16.34    0.00   16.53  124.66
 1980 269   105    80     2     9.2   85.5   81.1    4.4    0.27    0.25    0.25    0.30    0.59    1.34    1.78    5.62    5.11    3.58    0.11    0.21    0.05    0.15    0.13    0.12    0.11    0.23    0.17    0.13   33.17  113.33    4.65   16.39    0.00   16.78  126.83
 1980 270   106    80     2     9.2   83.8   79.5    4.3    0.32    0.27    0.26    0.28    0.51    1.19    1.59    5.51    5.09    3.58    0.10    0.21    0.05    0.15    0.13    0.12    0.11    0.22    0.17    0.13   33.49  113.67    4.65   16.43    0.00   17.06  128.74
 1980 271   107    80     2     9.2   82.1   77.9    4.2    0.34    0.28    0.27    0.27    0.44    1.05    1.42    5.39    5.07    3.58    0.09    0.21    0.05    0.15    0.13    0.12    0.11    0.22    0.16    0.13   33.82  114.03    4.65   16.48    0.00   17.34  130.72
 1980 272   108    80     2     9.2   80.6   76.5    4.1    0.37    0.30    0.27    0.27    0.38    0.94    1.29    5.27    5.04    3.58    0.05    0.19    0.04    0.15    0.12    0.12    0.10    0.22    0.16    0.13   34.15  114.44    4.65   16.53    0.00   17.62  132.59
 1980 273   109    80     2     9.2   79.1   75.2    4.0    0.35    0.30    0.27    0.27    0.34    0.85    1.16    5.16    5.01    3.58    0.05    0.17    0.03    0.14    0.12    0.11    0.10    0.21    0.16    0.13   34.47  114.81    4.65   16.58    0.00   17.89  134.26
 1980 274   110    80     2     9.2   77.8   73.9    3.9    0.33    0.30    0.27    0.27    0.30    0.77    1.04    5.06    4.98    3.58    0.04    0.15    0.03    0.14    0.12    0.11    0.10    0.21    0.16    0.13   34.77  115.17    4.65   16.62    0.00   18.14  135.89
 1980 275   111    80     2     9.2   76.8   73.0    3.8    0.32    0.29    0.27    0.27    0.28    0.72    0.97    4.98    4.95    3.58    0.03    0.14    0.03    0.13    0.11    0.11    0.10    0.21    0.16    0.13   35.05  115.51    4.65   16.67    0.00   18.38  137.09
 1980 276   112    80     2     9.2   75.4   71.7    3.7    0.29    0.29    0.26    0.27    0.26    0.65    0.86    4.87    4.91    3.58    0.03    0.13    0.02    0.13    0.11    0.11    0.09    0.20    0.15    0.13   35.31  115.83    4.65   16.71    0.00   18.60  138.70
 1980 277   113    80     2     9.2   74.2   70.7    3.6    0.29    0.29    0.26    0.27    0.26    0.59    0.78    4.77    4.86    3.58    0.02    0.12    0.02    0.12    0.11    0.10    0.09    0.20    0.15    0.12   35.55  116.13    4.65   16.74    0.00   18.81  140.09
 1980 278   114    80     2     9.2   73.0   69.5    3.5    0.27    0.28    0.26    0.26    0.26    0.53    0.69    4.66    4.82    3.58    0.02    0.11    0.02    0.12    0.10    0.10    0.09    0.19    0.15    0.12   35.78  116.42    4.65   16.78    0.00   19.00  141.48
